Iteration,list_iterations,Iteration,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour,list_duration_since_innit
2,32,85,0,0,0,0,549.49
2,33,85,0,0,0,0,561.12
2,34,85,0,0,0,0,573.41
2,35,85,0,0,0,0,585.73
2,36,85,0,0,0,0,597.38
2,37,85,0,0,0,0,608.94
2,38,85,0,0,0,0,620.84
2,39,85,0,0,0,0,632.46
2,40,85,0,0,0,0,644.05
2,41,85,0,0,0,0,655.66
2,42,85,0,0,0,0,667.24
2,43,85,0,0,0,0,678.8
2,44,85,0,0,0,0,690.31
2,45,85,0,0,0,0,701.85
2,46,85,0,0,0,0,713.35
2,47,85,0,0,0,0,724.88
2,48,85,0,0,0,0,736.6
2,49,85,0,0,0,0,749.43
2,50,85,0,0,0,0,761.0
2,51,85,0,0,0,0,772.47
2,52,85,0,0,0,0,784.12
2,53,85,0,0,0,0,796.02
2,54,85,0,0,0,0,807.53
3,0,1421,0,0,0,0,0
3,1,163,1239,1258,1250,1199,121.98
3,2,151,12,8,8,4,140.01
3,3,144,5,6,7,5,156.9
3,4,139,4,3,1,5,173.71
3,5,137,2,2,2,2,189.7
3,6,133,2,1,3,4,205.48
3,7,130,0,3,3,1,220.99
3,8,127,2,2,3,2,236.25
3,9,123,1,4,2,2,251.25
3,10,120,0,0,3,0,266.02
3,11,120,0,0,0,0,280.66
3,12,118,0,2,0,0,295.39
3,13,118,0,0,0,0,309.81
3,14,116,2,0,0,1,324.24
3,15,115,1,0,0,1,338.53
3,16,113,0,2,0,1,352.95
3,17,109,4,4,0,1,368.01
3,18,108,0,1,0,0,382.14
3,19,104,4,1,1,2,395.81
3,20,102,0,1,2,0,409.02
3,21,102,0,0,0,0,422.08
3,22,101,0,0,1,1,435.02
3,23,100,0,0,0,1,447.95
3,24,99,0,0,0,1,460.89
3,25,98,0,1,0,1,473.68
3,26,96,0,0,1,2,486.38
3,27,95,0,0,1,0,498.8
3,28,94,1,0,0,0,511.26
3,29,93,1,0,0,0,523.66
3,30,92,1,0,0,1,536.3
3,31,90,0,0,0,2,548.41
3,32,90,0,0,0,0,560.28
3,33,90,0,0,0,0,572.24
3,34,90,0,0,0,0,584.23
3,35,89,0,1,0,0,596.18
3,36,88,1,0,0,0,607.98
3,37,88,0,0,0,0,619.78
3,38,87,1,0,0,0,631.91
3,39,87,0,0,0,0,643.68
3,40,87,0,0,0,0,655.34
3,41,87,0,0,0,0,667.27
3,42,87,0,0,0,0,679.39
3,43,87,0,0,0,0,691.2
3,44,87,0,0,0,0,703.04
3,45,87,0,0,0,0,715.19
3,46,87,0,0,0,0,726.92
3,47,87,0,0,0,0,738.61
3,48,87,0,0,0,0,750.42
3,49,87,0,0,0,0,762.11
3,50,87,0,0,0,0,773.84
3,51,87,0,0,0,0,785.55
3,52,86,0,0,0,1,797.23
3,53,86,0,0,0,0,808.89
3,54,85,0,1,0,0,820.68
3,55,85,0,0,0,0,832.31
3,56,76,9,0,0,0,843.82
3,57,76,0,0,0,0,854.74
3,58,76,0,0,0,0,865.6
3,59,76,0,0,0,0,876.42
3,60,76,0,0,0,0,887.29
3,61,76,0,0,0,0,898.49
3,62,76,0,0,0,0,909.29
3,63,76,0,0,0,0,920.15
3,64,76,0,0,0,0,930.98
3,65,76,0,0,0,0,941.8
3,66,76,0,0,0,0,952.54
3,67,76,0,0,0,0,963.57
3,68,76,0,0,0,0,974.33
3,69,76,0,0,0,0,985.12
3,70,76,0,0,0,0,995.96
3,71,76,0,0,0,0,1006.7
3,72,76,0,0,0,0,1017.57
3,73,76,0,0,0,0,1028.42
3,74,76,0,0,0,0,1039.2
3,75,76,0,0,0,0,1050.03
3,76,76,0,0,0,0,1060.92
3,77,76,0,0,0,0,1071.71
3,78,76,0,0,0,0,1082.9
3,79,76,0,0,0,0,1093.84
3,80,76,0,0,0,0,1104.58
3,81,76,0,0,0,0,1115.47
3,82,76,0,0,0,0,1126.29
3,83,76,0,0,0,0,1137.09
3,84,76,0,0,0,0,1147.94
3,85,76,0,0,0,0,1158.69
3,86,76,0,0,0,0,1169.46
4,0,1454,0,0,0,0,0
4,1,164,1290,1276,1280,1247,126.0
4,2,147,12,9,17,8,144.2
4,3,136,11,3,3,11,160.94
4,4,124,6,12,6,4,176.63
4,5,116,1,8,2,7,191.63
4,6,111,3,0,0,5,205.89
4,7,102,3,9,1,0,219.77
4,8,99,3,2,2,2,232.89
4,9,96,0,2,2,3,245.64
4,10,94,0,0,2,0,258.24
