,List Iterations,Duration since innit,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
1409,3,170.84,137,3,18,5,5
1410,4,189.25,128,4,5,7,9
1411,5,207.13,118,5,1,10,7
1412,6,225.59,113,5,1,3,2
1413,7,242.38,106,1,2,3,7
1414,8,257.06,105,0,1,1,1
1415,9,272.08,102,0,0,2,3
1416,10,286.72,101,0,0,1,0
1417,11,303.25,100,0,1,0,0
1418,12,319.41,99,0,0,0,1
1419,13,334.65,97,0,0,2,0
1420,14,349.58,97,0,0,0,0
1421,15,366.02,95,0,2,0,1
1422,16,380.26,94,0,0,1,0
1423,17,394.03,93,1,0,1,1
1424,18,407.66,91,1,0,2,2
1425,19,421.8,90,0,0,1,0
1426,20,435.39,89,0,0,0,1
1427,21,449.56,87,0,1,2,2
1428,22,463.3,84,3,0,0,0
1429,23,476.06,83,1,0,0,0
1430,24,488.84,81,2,0,0,0
1431,25,501.7,79,0,1,0,2
1432,26,515.5,79,0,0,0,0
1433,27,528.7,79,0,0,0,0
1434,28,541.6,78,1,1,0,0
1435,29,554.24,78,0,0,0,0
1436,30,569.21,78,0,0,0,0
1437,31,581.95,77,0,0,0,1
1438,32,594.33,77,0,0,0,0
1439,33,606.95,77,0,0,0,0
1440,34,619.09,77,0,0,0,0
1441,35,631.01,77,0,0,0,0
1442,36,643.31,77,0,0,0,0
1443,37,656.03,77,0,0,0,0
1444,38,668.11,77,0,0,0,0
1445,39,680.15,77,0,0,0,0
1446,40,692.57,77,0,0,0,0
1447,41,704.88,77,0,0,0,0
1448,42,716.93,76,1,0,0,0
1449,43,728.93,76,0,0,0,0
1450,44,740.87,76,0,0,0,0
1451,45,752.79,76,0,0,0,0
1452,46,765.38,76,0,0,0,0
1453,47,777.79,76,0,0,0,0
1454,48,790.6,76,0,0,0,0
1455,49,802.95,76,0,0,0,0
1456,50,815.54,76,0,0,0,0
1457,51,828.1,76,0,0,0,0
1458,52,840.16,76,0,0,0,0
1459,53,852.43,76,0,0,0,0
1460,54,864.94,76,0,0,0,0
1461,55,877.33,76,0,0,0,0
1462,56,889.99,76,0,0,0,0
1463,57,901.98,76,0,0,0,0
1464,58,914.5,76,0,0,0,0
1465,59,927.15,76,0,0,0,0
1466,60,940.83,76,0,0,0,0
1467,61,952.76,76,0,0,0,0
1468,62,965.12,76,0,0,0,0
1469,63,977.43,76,0,0,0,0
1470,64,989.81,76,0,0,0,0
1471,65,1002.36,76,0,0,0,0
1472,66,1015.7,76,0,0,0,0
1473,67,1028.09,75,1,0,0,0
1474,68,1040.31,75,0,0,0,0
1475,69,1052.57,75,0,0,0,0
1476,70,1065.11,75,0,0,0,0
1477,71,1077.41,75,0,0,0,0
1478,72,1090.41,75,0,0,0,0
1479,73,1103.17,75,0,0,0,0
1480,74,1116.14,75,0,0,0,0
1481,75,1129.21,75,0,0,0,0
1482,76,1141.55,75,0,0,0,0
1483,77,1154.09,75,0,0,0,0
1484,78,1166.41,75,0,0,0,0
1485,79,1178.65,75,0,0,0,0
1486,80,1192.07,75,0,0,0,0
1487,81,1206.49,75,0,0,0,0
1488,82,1220.22,75,0,0,0,0
1489,83,1232.49,75,0,0,0,0
1490,84,1244.7,75,0,0,0,0
1491,85,1258.0,75,0,0,0,0
1492,86,1269.82,75,0,0,0,0
1493,87,1282.97,75,0,0,0,0
1494,88,1295.66,75,0,0,0,0
1495,89,1308.16,75,0,0,0,0
1496,90,1320.39,75,0,0,0,0
1497,91,1332.56,75,0,0,0,0
1498,92,1345.37,75,0,0,0,0
1499,93,1358.37,75,0,0,0,0
1500,94,1371.32,75,0,0,0,0
1501,95,1384.8,71,0,4,0,0
1502,96,1397.91,71,0,0,0,0
1503,97,1410.62,71,0,0,0,0
1504,98,1424.4,71,0,0,0,0
1505,99,1436.75,71,0,0,0,0
1506,100,1448.53,71,0,0,0,0
1507,101,1459.96,71,0,0,0,0
1508,102,1471.2,71,0,0,0,0
1509,103,1482.57,71,0,0,0,0
1510,104,1494.51,71,0,0,0,0
1511,105,1506.15,71,0,0,0,0
1512,106,1517.5,71,0,0,0,0
1513,107,1529.3,71,0,0,0,0
1514,108,1541.05,71,0,0,0,0
1515,109,1552.37,71,0,0,0,0
1516,110,1563.64,71,0,0,0,0
1517,111,1575.17,71,0,0,0,0
1518,112,1586.7,71,0,0,0,0
